url,id,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lierde/9570/10654657,10654657.0,3.0,East Flanders,LIERDE,9570,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/11161803,11161803.0,2.0,Liège,Saint-Nicolas,4420,HOUSE,HOUSE,210000.0,4.0,116.0,SEMI_EQUIPPED,0.0,,1.0,15.0,1.0,43.0,110,2,0.0,GOOD
https://www.immoweb.be/en/classified/house/for-sale/mazenzele/1745/11161802,11161802.0,3.0,Flemish Brabant,MAZENZELE,1745,HOUSE,HOUSE,270000.0,1.0,152.0,SEMI_EQUIPPED,,,1.0,,,,454,3,,TO_RENOVATE
https://www.immoweb.be/en/classified/bungalow/for-sale/mazenzele/1745/11161801,11161801.0,3.0,Flemish Brabant,MAZENZELE,1745,HOUSE,BUNGALOW,270000.0,1.0,152.0,SEMI_EQUIPPED,,,1.0,,,,454,3,,TO_RENOVATE
https://www.immoweb.be/en/classified/duplex/for-sale/ohey/5350/11161800,11161800.0,2.0,Namur,Ohey,5350,APARTMENT,DUPLEX,129000.0,2.0,98.0,SEMI_EQUIPPED,,,1.0,,,,,3,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/lummen/3560/11161799,11161799.0,3.0,Limburg,Lummen,3560,HOUSE,HOUSE,295000.0,3.0,154.0,0,0.0,,1.0,,,,814,4,0.0,
https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/11161798,11161798.0,3.0,East Flanders,Dendermonde,9200,APARTMENT,APARTMENT,220000.0,1.0,67.0,,0.0,,,,,,UNKNOWN,3,0.0,
https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/11161797,11161797.0,3.0,West Flanders,Diksmuide,8600,HOUSE,HOUSE,175000.0,3.0,193.0,0,0.0,,,,,,125,2,0.0,
https://www.immoweb.be/en/classified/house/for-sale/braine-le-ch%C3%A2teau/1440/11161796,11161796.0,2.0,Walloon Brabant,Braine-le-Château,1440,HOUSE,HOUSE,325000.0,5.0,195.0,,0.0,,1.0,,,,782,3,0.0,
https://www.immoweb.be/en/classified/manor-house/for-sale/berchem-ste-agathe/1082/11161795,11161795.0,1.0,Brussels,Berchem-Ste-Agathe,1082,HOUSE,MANOR_HOUSE,725000.0,4.0,245.0,,0.0,,,,1.0,185.0,415,3,0.0,
https://www.immoweb.be/en/classified/house/for-sale/wakken/8720/11161794,11161794.0,3.0,West Flanders,Wakken,8720,HOUSE,HOUSE,488000.0,3.0,182.0,,0.0,,,,,,1060,4,0.0,
https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/11161793,11161793.0,3.0,West Flanders,Zwevegem,8550,HOUSE,HOUSE,185000.0,4.0,137.0,0,0.0,,,,,,175,2,0.0,
https://www.immoweb.be/en/classified/bungalow/for-sale/marke/8510/11161792,11161792.0,3.0,West Flanders,Marke,8510,HOUSE,BUNGALOW,335000.0,2.0,118.0,,0.0,,,,,,732,4,0.0,
https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/11161790,11161790.0,1.0,Brussels,Schaerbeek,1030,HOUSE,APARTMENT_BLOCK,540000.0,4.0,228.0,0,0.0,,,,,,75,2,0.0,
https://www.immoweb.be/en/classified/house/for-sale/fize-fontaine/4530/11161789,11161789.0,2.0,Liège,FIZE-FONTAINE,4530,HOUSE,HOUSE,189000.0,2.0,132.0,,0.0,,,,1.0,452.0,870,4,0.0,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/11161788,11161788.0,3.0,East Flanders,Ronse,9600,HOUSE,HOUSE,249000.0,3.0,173.0,,0.0,,,,,,490,3,0.0,
https://www.immoweb.be/en/classified/ground-floor/for-sale/ohey/5350/11161786,11161786.0,2.0,Namur,Ohey,5350,APARTMENT,GROUND_FLOOR,109000.0,1.0,88.0,SEMI_EQUIPPED,,,1.0,34.0,,,,2,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/hamme/9220/11161785,11161785.0,3.0,East Flanders,Hamme,9220,HOUSE,HOUSE,529900.0,4.0,188.0,,,,,,,,1357,4,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/brugge/8310/11161784,11161784.0,3.0,West Flanders,Brugge,8310,HOUSE,HOUSE,300000.0,3.0,128.0,0,,,,,1.0,200.0,0,3,,
https://www.immoweb.be/en/classified/house/for-sale/bost/3300/11161781,11161781.0,3.0,Flemish Brabant,Bost,3300,HOUSE,HOUSE,170000.0,2.0,172.0,0,,,,,,,300,4,,GOOD
https://www.immoweb.be/en/classified/town-house/for-sale/brugge/8000/11161779,11161779.0,3.0,West Flanders,Brugge,8000,HOUSE,TOWN_HOUSE,449000.0,3.0,175.0,,,,,,,,102,2,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/halle/1502/11161778,11161778.0,3.0,Flemish Brabant,Halle,1502,HOUSE,HOUSE,325000.0,3.0,158.0,0,,,1.0,,,,390,3,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8211/11161776,11161776.0,3.0,West Flanders,Zedelgem,8211,HOUSE,HOUSE,285000.0,2.0,141.0,0,,,,,,,225,,,JUST_RENOVATED
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/arendonk/2370/11161670,11161670.0,3.0,Antwerp,Arendonk,2370,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/turnhout/2300/11161637,11161637.0,3.0,Antwerp,Turnhout,2300,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
https://www.immoweb.be/en/classified/ground-floor/for-sale/turnhout/2300/11161634,11161634.0,3.0,Antwerp,Turnhout,2300,APARTMENT,GROUND_FLOOR,232900.0,2.0,77.0,INSTALLED,,-1.0,1.0,14.0,1.0,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/11161633,11161633.0,3.0,Antwerp,Turnhout,2300,APARTMENT,APARTMENT,408900.0,3.0,121.0,INSTALLED,,-1.0,1.0,46.0,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11111910,11111910.0,1.0,Brussels,Ixelles,1050,APARTMENT,APARTMENT,3297000.0,3.0,305.0,HYPER_EQUIPPED,0.0,,1.0,166.0,,,UNKNOWN,,0.0,AS_NEW
